,product_name,user_rating,product_review
10,Foster's Lager,2.85,from a 750ml can hard to pour i guess youre just supposed to drink it out of the can clear golden color with white foamy head smells of light grain and straw light body earthy grain flavor basic macro lager nothing really stands out
11,Foster's Lager,3.21,poured from a can into a pint glass pours straw yellow orange with a fluffy white head smells of cereal grain not too strong but not too weak tastes of cereal grain beer is light bodied and easy drinking good carbonation overall an average beer
12,Foster's Lager,3.54,fosters lager 5 abv pours golden with a 5finger white head that left great lacing nose is malty and sweet taste follows plus slight grain and bitterness decent mouthfeel overall very good be sure to say fosters with an australian accent
13,Camo 900 High Gravity Lager,1.52,24oz can lets see what i did to myself  one the pour 1 finger of bubbly white head formed with surprisingly decent retention leaving a thick but sudsy ring and a slow dissipation to a thin covering on top body is a golden yellow as expected no lacing  aroma is bad like the cheapest oldest bottle of sutter home white wine in your local shitty liquor store its almost tart acetaldehyde for days and hints of vinegar  taste is of course an amplification of the aroma but even dirtier sweet shitty rosé without the refreshing vibe that then transitions into a lightly malty finish with a dirty bitterness that thankfully doesnt grow the aftertaste is like wine puke  feel is at least drinkable but the knowledge of just how terribly made this is makes my body want to reject it the only way to drink this beer is to take big gulps but thay could lead to intestinal distress at least you can chug it without completely hating yourself at least completely  overall this is bad just buy steel reserve or at least go for the 122 alcohol version if you really need to get wasted and why the hell does this taste like what my palate in high school tasted dry white wine as but sweet  if you gotta drink it for gods sake dont pour it in a glass
14,Camo 900 High Gravity Lager,1.58,camp 900 high gravity lager special reserve xxxxx 1050 abv  to its credit it hides its abv well the cloying sweetness is rough  f  avoid
15,Camo 900 High Gravity Lager,1.11,really with this awful is the review i came up with
16,Camo 900 High Gravity Lager,2.6,the first time i went to las vegas nv i was abruptly introduced to five different versions of camo malt liquor i purchased and consumed every single variety this review is based on a singular consumption of 900 high gravity
17,Camo 900 High Gravity Lager,1.31,wow i stole a 24oz can of this out of a community motel fridge one nite just cuz i wanted a beer it was hot out and everything was closed wow that was a mistake horrible from the word go the carbonation wow that is awfull lot of alcohol but wow not good at all would rather not drink at all
18,Camo 900 High Gravity Lager,1.96,mr can here there is some really deadly beer in cans and i will tell you about them yoi  i got a finger of rocky bonewhite head with decent retention color was a deep goldenyellow with nequality clarity nose had a fruity flavor hmm mouthfeel was medium with a fruity flavor finish was a cheap vinous flavor this was liquid crack not recommended for novices
19,Camo 900 High Gravity Lager,1,the top of my can says special reserve ok who are they kidding this is hands down a bottom of the barrel malt liquor i cracked my can and poured an 8 ounce glass full because i needed to see straight into the eye of the evil hidden behind that aluminum can pours a dark yellow color with a thick head and constant heavy carbonation the aroma is revolting the mouthfeel makes me a little woozy and the flavor is simply horrific overall this strong lager aka malt likka kikka is a tough sell for me because even if i was looking to get a quick drunk on this beer term used loosely is tough to drink be afraid be very afraid
20,Camo 900 High Gravity Lager,2.51,since no day is a good day to subject myself to malt likkapalooza ix this day is as bad as any other for todays bout this big silver can of camo 900 will be going up against lucky number high gravity lager is it possible that camo 900 high gravity tastes different than camo high gravity camo silver ice and camo black ice only an idiot would do a 4way malt liquor comparison tasting hmmm  camo is urination yellow if the hobo is dehydrated with an offwhite lid that is by far the better looking of the two this stuff is actually beginning to deposit some lace on the upper reaches of the glass who put a good looking beer in my can of boozy malt liquor this might be the best looking beer of this style that ive ever seen  neither one of the aromas is overly offensive this one is sweet and corny with a semipleasant floral fruitiness that none of its typical imbibers is likely to appreciate no great shakes but doable given what style were dealing with  will wonders ever cease i didnt think very highly of camo silver ice for good reason but this stuff is drinkable if your expectations are in the correct place to start with the flavor is as simple as a stone and isnt as ahem pleasant as the nose but it aint bad either as always being ice cold helps  the bodymouthfeel is a bit lighter than the style average and has a just right amount of carbonation a soft fizziness hits and is then gone allowing the beer to melt in the mouth with a smoothness relatively speaking that is unusual in a malt liquor  either special reserve camo 900 high gravity lager really is better than camo silver ice or im in a malt liqorreceptive mood today scary thought anyway malt likkapalooza ix wasnt even close this stuff almost makes me want to go out and buy some brown paper bags
21,Camo 900 High Gravity Lager,2.36,jeez this is a special reserve beer what is the reserve a bed in a poison control center  the pour from the ghetto sized 24 oz can gives you a brew best describes as first piss after the beer fest clear and yellow with a questionable white froth on top  smell is sweet corn and fruity ester funk that i normally smell in dogfish head beers matter of fact this smells exactly like dfh liquor de malt and i do see that i gave liquor de malt a 35 in smell so  taste is weirdly unflavored just some apples and alcohol burn near tasteless alcohol delivery device  mouthfeel is water plus vodka  drinkability is subjective there are far nastier malt liquors out there and i have tasted them this is meant for just two types of people hardcore alcoholics and college studentsmore or less the same thing in some places  unless you intend to stop going to work and become a wineo avoid
22,Camo 900 High Gravity Lager,2,appears light pale golden hue bright white head leaves sporadic lacing aromatics contain sweet sugary fruit notes touch of honey and alcohol wow no real hop character residual sweetness evident corn and rice in harmonyharmonyharmonythats a naught by nature reference taste is upfront alcohol ridden along with sugary layers of mild fruit notes with corn and rice evident on the palate mouthfeel is mediumlight bodied slightly syrupy leaves streaks of flavor on the palate with each sip drinkability leaves me wanting something hoppier but the alcohol content is there what can i say were having fun sampling malt liquors
23,Camo 900 High Gravity Lager,1.4,mine says camo 900 24 ounce can light yellow mildly aromatic with a bit of solvent and dirty fish tank along with grass light grains and alcohol the flavor is actually pretty unique but still rough corny and grainy there are only mild off flavors and this isnt quite as good as olde english 800
24,Camo 900 High Gravity Lager,1.13,good god almighty a friend of mine bought me this as a gag poured a very pale orangeyyellow smell was of sulphur and rubber  it tasted of rubber and grain absolutely bad really bad  i dont know how anyone could stand to drink enough of this to get drunk i drank about 14 of it and then dumped the rest  wow should have passed the novelty on to someone else so i didnt have had to try it
25,Camo 900 High Gravity Lager,1.57,pours a gold to light orange hue one finger head fades along with most of the carbonation in under a minute typical malt liquor apple cider smell taste is very sweet almost tangy low carbonation and no detectable hops leave this beer flat and unbalanced i guess the thick body and overly sweet flavor are worth struggling through if you aim to get smashed
26,Camo 900 High Gravity Lager,2.07,camo 900 high gravity lager pours a classic lager amber from a 24 oz pop top can the light tan head went over two fingers before turning rocky then settling down to a fine carpet of foam leaving a fair amount of lace along the way plentiful streams of carbonation are rising to replenish the cap of foam in a seemingly endless supply  nose is a sweet corn with a floral component followed by the vapors of alcohol palate is a very sweet corn with some hops bittering not quite in balance with the very sweet corn the hops bittering offsets some but not all of the sweet corn missing is the burn from the 9 by volume alcohol it is tucked away in the same place as the bite of carbonation in the viscus liquid of this hgl the mouth feel is that of a light syrup  in the end the sweet corn becomes cloy the bitter has lost the battle and is nowhere to be found the sides of my glass are still covered in a fine lace a good deal of ambivalence is going on with the eye candy and the cloy sweet corn  for me its one time around the block for some one else im not so sure
27,Bourbon County Double Barrel Toasted Barrel Stout,4.45,500 ml bottle into a snifter bottled 72021 had 31222  pours an opaque dark brown with a quarter inch quickly dissipating head and some spotty cling aromas of bourbon oak char malt chocolate some vanilla a little leather has a spicy peppery aroma flavors of bourbon oak malt vanilla chocolate raisins char a little licorice on the finish and in the aftertaste has a spicy taste somewhat black pepper like smooth a very good full body appropriately carbonated  really enjoyable lots of barrel and oak many distinct and expressive aromas and flavors not quite as full bodied for a bcs effort but its not a negative
28,Bourbon County Double Barrel Toasted Barrel Stout,4.75,this beer pours a perfect onyx black with zero leakage on the edges and sports a dark tan head that is a bit creamy and sticks around for a surprising amount of time given the 16 abv a gorgeous representation of an imperial stout  the nose is boozy up front again no surprise with the high abv but theres also huge milk chocolate caramel vanilla oak and stone fruit as ripe dark cherries  notes that literally have me drooling theres a lot packed into this big beer  the taste has a nice boozy note up front that is not distracting at all and flows into the milk chocolate caramel vanilla oak and dark cherry flavors with a nice warming alcohol note at the back of the palate this is perfectly balanced and world class at the highest level imho  the mouthfeel is full substantial and coats the palate this is everything a ba imperial stout should be again imho
29,Bourbon County Double Barrel Toasted Barrel Stout,4.39,opened my bottle of this with a friend of mine who had the elijah craig toasted barrel bourbon so we could try them side by side the beer pours much like any bcbs rich dark black color with a thin brown head on top the smell has a pretty healthy barrel presence to it some roast and chocolate in there too taste is solid nice chocolate mixed with bourbon and wood notes the feel was personally my favorite part of the beer it was smooth hardly any boozy heat the fact that it was 16 and drank so easily is very impressive overall its a great beer as it should be enjoyed having it
30,Bourbon County Double Barrel Toasted Barrel Stout,4.9,152 really enjoyed this
31,Doppelbock Dunkel,4.06,oh lordy this is great pours dark darker than expected with a lovely effervescent rise of bubbles at the end dark malty brown almost dubbel cola dark aromas promising dark fruits rum and caramel maltier and less sweet taste than nose would suggest with teast and bready finish its complex and full of character man andechs rarely put a foot wrong
32,Doppelbock Dunkel,4.52,i had this on draft 42723  the beer temple  opaque brown appearance  nice khaki head minimal lace  burnt caramel honeyed grain mild cream  faint smoke notes in the nose  medium mouthfeel  burnt caramel honeyed grain  faint cream flavors  a classic
33,Doppelbock Dunkel,4.29,appearance pours a clear dark amber to deep brown color with a moderate light tan head srm of 1820 400  aroma strong aromas of brown bread caramel some hints of dark fruit of raisin plum grape 425  flavor strong flavors of caramel brown bread some hints of dark fruit with some dark grains yeasty and bready off the end 425  feel mediumbodied strong carbonation toasted mildly sweet finish 425  compared to weihenstephaner korbinian 3152023 pours lighter similar head stronger aromas more brown bread toasted grains less dark fruit and syrup less cocoa slightly more carbonation and yeastier  overall an excellent doppelbock here as expected complex strong and bready flavors that lean a bit toasted nice german yeast give a clean and dry finish that is what makes this better than every other doppelbock ive tried sidebyside this is the best rating 429
34,Doppelbock Dunkel,4.24,cherry brown with a steady puffy tan cap of froth fresh baked bread red currants pretzels and raisinettes dark bread crust red plums brown sugar carob bark and a vague herbal ending fizzy medium dead smooth  4 425 425 425 425  all the right moves lest it be taken for granted it is burnfree attenuated silky  all of the things youd expect from german precision brewing if im forced to find fault its a bit undercarbed which makes it play a touch sweeter than it should also surprised and delighted by all the fruit  i cant help thinking that this brings many of the notes that make baltic porter great but in a much more drinkable package that makes this even less bready and more estery than korbinian id love to drink the two side by side very digestif it just slides right down but ill love to pair it with duck or pork chops  proper wintery treat deserves many revisits
35,Doppelbock Dunkel,4.67,i have been to the monastery in kloster twice and had this beer fresh from the tap it has a deep amber color and flavorful aroma its is powerful tasting but not so much as some other german doppelbachs definitely tastes of caramel and very smooth almost as good out of the bottle but i cant think of any beer that is as good out of a bottle than fresh from the tap this is probably my 1 doppelbach
36,Doppelbock Dunkel,4.25,pours a dark brown with a fizzy head the aroma and taste are all malt and caramel that deep burnt caramel that is the hallmark of this style and makes it not exactly my favorite it is well in line with the other examples ive had and is very flavorful and clean medium sweetness and bitterness medium mouthfeel as well
37,Doppelbock Dunkel,4.74,outstanding so smooth and delicious for 71 that 71 is packed with rich flavors to its all balanced out right perfect beer imo 1 of my favorite beers i recommend it
38,Doppelbock Dunkel,4.58,grabbed a 05l bottle at the local liquor store type place benz in sindelfingen these quality beers are so cheap been a long time since ive had this style and its been an even longer time that ive wanted to try one of this quality very strong aroma almost barrel like and drinks quite strong for the abv super strong malt character with plenty of sweetness and roasted finish very clean and delicious
39,PNC Imperial Buckwheat Stout,5,2013 at toronado in 2014
40,PNC Imperial Buckwheat Stout,4.56,received a bottle in a trade 12622 2021 bottling date consumed 61523 abv is 133  beer poured black with a pretty nice tan head that dissipated quickly  nose is very nice with roasted malts dominating and giving notes of bourbon vanilla and dark fruit  taste is awesome large heavy roasted malt base gives a touch of boozy heat with notes of vanilla and dark fruit lingering in the background finishes perfectly balanced with the heavy roast and barrels the large malt base  mouthfeel is full bodied chewy and smooth  overall an amazing brew with a very nice price point
41,PNC Imperial Buckwheat Stout,4.5,2021 vintage love the boxed presentation as always popped the top poured down the center of a fw snifter deep dark xlnt beige foam that laced down with each sip tequila barrel right up front then chocolate a bit of pepper light molasses quite aromatic taste is chocolaty at first then piloncillo vanilla good alcohol burn on the tongue the tequilla barrel leaves a quick impression then brandy and bourbon bring it all together great long finish not overly sweet full mouthfeel medium carb overall another winner from firestone walkers incredible barrel program
42,PNC Imperial Buckwheat Stout,4.5,2021 version tasted on tap at the propagator may 15 2022 subtle tequila on the nose creamy andjust excellent
43,PNC Imperial Buckwheat Stout,4.59,appearance arrives fudge colored with a beige head that settles in as a film but leaves plenty of lacing  smell the tequila barrel aromatics dominate but there are lots of complementary aromatics of chocolate spice cake bourbon and brandy  taste dark chocolate foward with hints of spice cake brown sugar and vanilla through the middle the barrel tones emerge with tequila leading but the bourbon and brandy also in the mix the finish brings all the flavors together with a slightly boozy edge  mouthfeel full bodied with moderate carbonation some warmth in the gullet  overall firestone walkers barrel program is unsurpassed and this is a great example of their creativity
44,PNC Imperial Buckwheat Stout,5,providentially just got a 4pack shipped in  pardon my lessrefined lack of nuance but it this batch was just as welcomelyreceived as any parabola or its variants  wow looks like quite the internationallysourced list of ingredients and influences doubly longinglounging to revisit orval about now  mighty hit of the flat opaque thick boozy malty salty sweet complex and woodburnished got 2 left for a real milestone should i live so long  one to grab
45,PNC Imperial Buckwheat Stout,4.63,alright alright alright cue the matthew mcconaughey grin  best smoked beer ive ever had balanced but still gives you a nice kachow in the kisser with that smoke bomb drinkable af but notable and memorable  im not a huge smoke beer person and about 12 way through a pour im usually pawning it off on the nearest buddybut ive ordered this a few times now and drank every bit  definitely worth the try even if its prying you out of your safety zone not trying it if youre able should make you reevaluate your life and wonder if youre having a failure to launch bud dum bum pshhhmatt joke
46,Choklat,4.05,650 ml bottle courtesy of cardinal pub  bar stavanger abv is 110 pitch black colour moderate creamy tan head intense aroma of cocoa  chocolate the flavour has also loads of chocolate and cocoa but the sweetness is not too extreme also some roasted coffee notes a moderate hoppy bitterness in the finish chinook and willamette balances some of the chocolate sweetness very drinkable for an 11 beer i had no problem finishing the bottle  but if you hate chocolate this is clearly not a beer for you
47,Choklat,4.44,ive had many opportunities to drink choklat oranj and really liked it had this one for a few years and thought a snowy christmas would be a good time to drink it really hits the spot i guess it could be a dessert beer but when its freezing outside and the snow is blowing itll do looks like motor oil with very little head just like an imperial stout should with my diminished sense of smell i get chocolate imagine that and malt cant decide if its milk chocolate bittersweet or what but definitely chocolate taste is the star here chocolate of course but i dont think its too sweet nice clean finish i could drink it for dessert but its fine in front of the fire in the dead of winter mouthfeel is almost perfect slightly thick smooth as silk and just about right overall a really good imperial stout unfortunately it doesnt seem to be available any longer but should it pop up again im definitely getting another bottle or two
48,Choklat,4.25,22oz bottle no dating information found black colored body with ruby back lit highlights two fingers of tan head settles back to bubbly cap leaves very little lacing aroma is similar to a chocolate malt smells very sweet taste is sweet but also bittersweet and with a little smoky char displays many types of chocolate from sweet milk chocolate to bitter dark chocolate roasted malts are there for support mouth feel is about medium but the texture is more rich and with slight syrup good carbonation this is a beer made to display many forms and textures of chocolate fudge to syrup to milk chocolate balls to bittersweet ultimately sweet and best suited for a dessert experience
49,Samuel Adams Octoberfest,4.32,i liked it buy more
50,Samuel Adams Octoberfest,3.94,sam adams octoberfest märzen 53 abv pours clearish brown with a halffinger offwhite head nose is malty and bready taste follows slightly sweet equally bitter a bit overcarbonated overall very good
51,Samuel Adams Octoberfest,3.16,i so wanted to enjoy this beer its a personal preference but i was turned off by the roasted malt flavor
52,Samuel Adams Octoberfest,4.11,a malty rendition of the marzen oktoberfest style slightly sweeter than the rest of this field which is fine by me samuel adams might be one of the larger breweries but they do a good job with crafting this one
53,Samuel Adams Octoberfest,5,beautiful dark amber color wunderbar aroma very sweet and delicious  style märzen  tapcanbottle bottle  abv 53  rating 5
54,Samuel Adams Octoberfest,3.07,12oz bottle pours a clear light amberorange color with a dense and thick tancolored head that fades down at a moderate rate before disappearing smells of toasted malts and bread taste is the standard caramel toasted malts hearty bread notes slight sweetness and some grassy hop flavor but the flavor seems to disappear into a watery finish surprisingly fast small hop bitterness that closes the beer and forms most of the aftertaste medium body with a moderate carbonation mouthfeel and that outofplace watery feel  this would have been a fairly solid märzen but that watery feeling really holds it back wont buy again
55,Samuel Adams Octoberfest,3.3,sam adams used to make a good oktoberfest beer which is not hard to do the marzen style is pretty easy to nail unfortunately it appears that theyve watered down their marzen just as they watered down their boston lager recently its still a very drinkable beer and would be rated much higher as a pils or a dark lager but there is virtually no hint of the marzen style in this beer
56,Samuel Adams Octoberfest,3.6,its kind of disappointing that sam adams cannot put together a better octoberfest than this  mine was from a bottle poured flat smelled pretty decent and certainly tastes like a fast beer  sam adams is sponsoring the cincinnati octoberfest the second largest in the world they can do better
57,Samuel Adams Octoberfest,3.77,when i start seeing sa octoberfest in the shelves i know fall is just around the corner good goto beer for the autumn easy to find reasonably priced great fall session crushable beer wont blow your mind but will satisfy you
58,Samuel Adams Octoberfest,3.28,been in the mood for some oktoberfest beer sam adams is okay not great but okay like alot of craft beer it seems to me they all pretty much taste like they were made with among other things charcoal as one of the ingredients tears up my stomach country boy oktoberfest is the best ive sampled thus far but my goodness a 6pack of 12ounce cans is 14 too damn expensive why the hell craft breweries think they can charge so damn much is beyond me the sam adams was 11 for a 6pack ridiculous
59,Pirate Bomb!,4.15,black in color with no penetration to light theres a fingernail of brown around the rim and and covering a third of the top the aroma is of chilies rum and coffee im tasting chilies vanilla cacao and rum the mouth is warm from the chilies and otherwise chewy
60,Pirate Bomb!,3.61,12 oz bottle marked 072719 sampled 050921 a little long to wait bought it off the shelf 3 weeks ago so the brewer takes any hits on aging they left it there for purchase  appearance black glass thin halo of tan bubbles no lacing  aroma heavy vegetative chili note burned barrel some underlying malt sweetness  taste medicinal alcohol green pepper some sweetness comes in deep into the taste a little coffee in the finish hard to get many beer flavors out of this even imperial stout flavors some pepper burn long after the swallow that builds a bit  mouthfeel medium heavy body low almost flat carbonation little oily in the finish but pretty clean  overall i love prairie bombs ive enjoyed a lot of the variations this one not so much i think all the additions overwhelm the yummy base beer and it just comes across as a little gimmicky the vegetable note really throws me maybe this one sat too long the date code is all but invisible on the bottle
61,Pirate Bomb!,4.99,fantastic the rum taste really comes thru
62,Pirate Bomb!,4.44,on tap at cardinal pub  bar stavanger pitch black colour low tan head aroma first of fusel alcohols then molasses rum oak cask vanilla coconut chocolate and roast malts rich and warming mouthfeel outstanding flavour medium sweet and roasty no sign of fusel otherwise all the delicious notes from the aroma are repeated and strengthened here nice chili heat in the finish perfect
63,Aphrodisiaque / Aphrodite,3.71,i like some head on my beers and this one only produced a thin ring of foam around the edge sticky looking syrup like lace on the glass chocolate is dominate both on the nose and the pallet bitter chocolate give it a touch of harshness not a bad stout just far from being one of my go to brews
64,Aphrodisiaque / Aphrodite,4.09,115oz bottle into a pint glass bottled 12212015 so 7 years old  mixed look here jet black body but barely any head  enticing aroma though dark fruit molasses think ris light  on tasting vanilla wafts in and out of a slightly sweet dark fruit flavor some mild bitter dark chocolate  mouth medium thinner than would be preferred finish a lasting mild roast  overall ages nicely would be interesting to compare with a fresh bottle
65,Aphrodisiaque / Aphrodite,4.21,12 ounce bottle aged in a stout glass  opaque black with a shallow dark tan cap a ring wave and dots of lacing  lots of aromas vanilla sweet and dark chocolate roasted malt dark fruits brown sugar  vanilla dark chocolate roasted malt and cocoa flavors  medium body low carbonation leans sweet  went well after dinner with some dark chocolate and mexican chocolate cookie
66,Aphrodisiaque / Aphrodite,3.8,341 ml bottle from a quebecois coworker abv is 65 black colour low tan head strong and pleasant aroma of cocoa and vanilla the flavour is not very sweet but has plenty of cocoa powder and vanilla with strong coffee and bittering hops in the finish no aphrodisiaque effect detected  maybe i am immune
67,Aphrodisiaque / Aphrodite,4.15,this is my new favourite stout among those that i can buy in my region at 14 for 4 bottles its so much better than i would have expected the look is pretty standard for a 7 ish abv stout dark black with brownish head that leaves a small amount of lacing the smell on this beer is great i didnt have a bottle opener when i tried it for the first time so i had to whack it on the counter and when some spilled there was this huge rush of vanilla chocolate and beautiful malt the taste does not quite follow the nose the complex profile on the nose is lessened significantly when tasting it is still very cool and the added flavours of vanilla and chocolate are done well enough the vanilla comes up front but is subtle and the sweetness is balanced well by the roasted malt the chocolate follows into the aftertaste and is again balanced well by the bitter coffee notes of the roasted malt the mouthfeel is pretty good mediumfull bodied with mediumlow carbonation maybe a little more carbonation would be nice but i like it overall i used
68,Aphrodisiaque / Aphrodite,3.92,appearance almost black brown smell malt port coffee taste coffee vanilla chocolate dark dry fruits malt mouthfeel low carbonation overall a tasty stout with pronounced flavours that complement each other well
69,Bourbon County Brand Stout,5,goose island bourbon county imperial stout  now i must say this is quite quite good like very good somewhere between a good stout and an aged whiskey which isnt a surprise based on the drink itself that being said it does not exemplify the thing i like most about beer so far being drinkability i do like the refreshing nature of a beer quite a bit and that is the only thing id say is absent here  at 143 percent its quite high for a beer and you feel a lingering alcohol taste towards the end it is accompanied by some sweet notes like date and chocolate though  mouthfeel is very unique in that somehow the bubbles feel thick like the consistency is buttery and but the bubbles feel heavy for some reason bringing out a very odd and unique but not off putting almost soupy texture mouthfeel end notes are sticky and also a little velvety or caramellike  smell is a little sour and very malt forward slightly fruity and even slightlyer herby  if you havent tried it i highly recommend ive been sipping as i write this and am appreciating it more and more one hell of a beer if you do grab one the only thing i can say is that its not smashable but should be enjoyed slowly
70,Bourbon County Brand Stout,4.86,finally getting to try this 2022 vintage poured from bottle into a snifter  look blackbrownred thick oily very thin light brown head no retention except a tiny ring  smell oh wow damn this is pulling no punches chocolate coffee caramel malt bourbon dark bread and the tiniest hints of vanilla beans raisins and bananas incredibly complex  taste yuuuuup heavyweight but incredibly smooth at the same time lots of the chocolate with the vanilla bean and caramel notes playing second and third fiddle heavy maltiness and bourbon character but still incredibly smooth with very little burn for the abv raisin note is slightly present in the back as well as the faintest banana peeking through once the malt onslaught begins to fade  feel thick but only slightly oily on the palette light but lingering carbonation sticks around a bit but in a pleasant way and doesnt overstay its welcome very slightly syrupy really pleasant  overall masterclass of an imperial stout has more distinct flavour impressions than most stouts with adjuncts but is still perfectly balanced deserves the hype
71,Bourbon County Brand Stout,4.45,opened the 2019 bottle that has been aging in my cellar poured into a tulip glass the chocolate colored head quickly dissipated midnight color smell was extraordinary complex consisting of a beautiful bouquet of chocolate alcohol fine whiskey and espresso taste was exceedingly complex the stout lingered on my palate forever it seemed take your time to sip this beauty as it has a high alcohol content overall a warm stout to enjoy in the midst of a winter storm near a fireplace well done
72,Bourbon County Brand Stout,4.65,2022  a pours a beautiful black oily color perfectly opaque hardly any head  swow rich chocolate plums oakespresso a bit of whiskey probably the best smelling beer ive had the pleasure of smelling  tchocolate bourbon oaky goodness raisins coffee cant believe this is 145 percent abv  m rich and oily  o its incredible it lives up to the hype
73,Bourbon County Brand Stout,4.91,pours a deep brown nearly black  the smell is very reminiscent of whiskey due to the barrel aging slight alcohol tinge but very fruity and sweet smelling the smell is like raisins or figs there is a slight fermentation flavor that reminds me of wine likely due to the high abv  the flavor is very sweet and low in bitterness the flavor is extremely malty and fruity the taste seems like a cross between a high malt beer a wine and a bourbon notes of figs raisins trailed by syruppy molasses and fermentation flavors  the mouthfeel is thick and syrupy  a very excellent beer
74,Bourbon County Brand Stout,4.75,this is my favorite stout beer since i live in the chicago area its easily accessible i see some reviews that state kbs is as good or better im writing this review to say that is false
75,Bourbon County Brand Stout,4.75,pours very dark dark tan foam heavy bourbon aroma big flavors chocolate caramel and oak very complex but well balanced strong alcohol finish beyond excellent best imperial stout ive ever had
76,Bourbon County Brand Stout,4.83,look pours obsidian black with a very light coppercolored head  smell strong whiskey and vanilla aromas along with fudge and coffee  taste silky smooth bourbon and vanilla taste im also getting the hints of chocolate and coffee and there is also some caramel going on as well the oak is present as it goes down and just finished the taste perfectly  feel man this is too smooth for how heavy it is the feel is heavy but this is easily drinkable and just paints the palette with a velvety finish  overall absolute dynamite for the style this is one of the best out there and lives up to the hype
77,Bourbon County Brand Stout,4.63,given to me as the bottle itself from a friend of mine poured into a snifter  l  pitch black with a onefinger tan head head goes away after a few minutes or so fantastic lacing s  frenchroast coffee with chicory heavy notes of bourbon oak and dark chocolate hint of black cavendish pipe tobacco t  follows nose rich burnt sugar halfway through the glass this brew evolves into a something else notes of vanilla cacao frenchroast coffee and chewy caramel hinting at fig cherry and raisin finish is longacquired leaning sweet with a velvety oaken tobacco f  fullbodied with little carbonation viscous but not syrupy velvety dense strong this one is a sipper for sure and itll warm you up o  another fantastic brew from goose island while i wouldnt say its worth the price in the slightest it is a musttry funny enough the abv isnt detectable i didnt realize how strong it was until i peeked at the label halfway through the glass a delightful  decadent end to a chilly evening highly recommend but i probably wont get it again
78,Skol,2.06,bought at a supermarket in algorta spain  pours translucid yellow colour slim foam head almost no smell very very light taste bitter after taste  dull beer
79,Skol,1.72,carbonatación media cuerpo extremadamente ligero una cerveza acuosa dulce casi sin rastros de amargor sería como la cerveza corona pero de brasil
80,Skol,2.35,from festival de las naciones in teku glass playing the last door season 2 the closest thing to water ive ever found in a beer can no aroma no taste no aftertastewatery at least hasnt anything unpleasant either
